#####Example input file formatted for running maximum likelihood analysis in RaxML


#[number_of_taxa_(n)] [alignment_length_(number_of_characters)]
#[name_of_individual_sequence] [sequence]
#[name_of_individual_sequence] [sequence]
#[name_of_individual_sequence] [sequence]
#[name_of_individual_sequence] [sequence]
#[name_of_individual_sequence] [sequence]
#.
#.
#.
#[name_of_nth_individual] [nth_sequence]


#For example...

36 69
Humans_LotR 322111111111121111312222212212132432223231322422132131312241311221221
Elves_LotR 411111111111121221111313321344111221311412113511121114143322431111312
Dwarves_LotR 132111111111121111311132233223122331232321222422132123223312111131333
Orcs_LotR 123111111111221221211432113222113143214141321111314322411144111212121
Humans_FR 322111111111121111312222222215132332223232223422232131323231232221221
Elves_FR 211111111111121221111313221325122321222322323412133113232331231221211
Drow_FR 214111111111121221112213321325121233322332313413321313223334231233323
Dwarves_FR 132111111111121111312132233322122332222322222322132113223321231231333
Orcs_FR 343111111111211221311432113112112233212141321111311322411144212213111
Humans_ES 332111111111121111312222222215132332222232223422222231312231232221221
Altmer_ES 425111111111121221211323322335122322211222223412132213223321232221311
Dunmer_ES 324111111111121221212213221335121233211232313412221313223331232221211
Dwemer_ES 324111111111121221312212421225122221221412122521141115124325132211433
Orsimer_ES 433111111111211221312132233225132333312332313322222222212231232211111
Humans_WC 332111111111121111312222222215132432223232323422232131313231232221321
Night_Elves_WC 524111111121121241312323322434121321311213112411121113242321231111212
High_Elves_WC 311111111121121231212313321334121322211323222412241122222332132211412
Dwarves_WC 132111111111121111312132233225132432232422222422143122323322131131433
Orcs_WC 443111111111211221312132223215132333323233323322222131322331232221221
Humans_WH 322111111111121111312222212212132232223232323422232231312241333221221
High_Elves_WH 411111111111121221111313321334121232311313223511121113123322433211321
Dark_Elves_WH 414111111111121221111213321334121233323343312334433412413344233233321
Dwarves_WH 132111111111121111312132233222132232322412222422131112223322133221433
Orcs_WH 443111111111211222123442113132213143513141332135314521411314133312111
Humans_WH40 322111111111121111312211321211522133124342324312231331314241333232444
Eldar_WH40 411111111111121221111323432431411132411414222511121314115322433212544
Dark_Eldar_WH40 414111111111121221111223432431411143422444312434443413415344233233544
Squats_WH40 132111111111121111312122322221522132223322223422131235114225133232433
Orks_WH40 443111111111211222123442113132213143513241332135314521413314133312114
Humans_W 322111111111121111312222222215132332223231222423222231313231332223221
Elves_W 211111111111121221111313221325132321221321222313122213222232432221112
Dwarves_W 132111111111121111312121222222132432222321222422122213222232132221211
Protoss_OG 514121212122322352112233422331422232312413232511131111415321333221544
Zerg_OG 657223323421222352123444134341214143524151341135554521411433343344624
Tyranids_OG 657223333421222352123444134351214143524151341135554521411414444344624
Xenomorphs_OG 516221312131222352123444123451113143514151331135554521411313143344624


